lead_id,lead_created_ts,lead_source_raw,raw_campaign_name,customer_type,preferred_unit_type,budget_min,budget_max,lead_score,assigned_exec_id,project_id,project_name,city
L000033,26-04-2024 11:41,Referral,FB_Q1,End User,Villa,4500000,8000000,56,E28,P4,UrbanNest,Pune
L000034,07-09-2024 22:20,99acres,Referral_Partner,End User,3BHK,3000000,6000000,16,E02,P5,PalmResidency,Pune
L000035,13-02-2024 01:40,MagicBricks,Google_Search,End User,3BHK,4500000,6000000,57,E04,P4,UrbanNest,Pune
L000036,06-11-2024 20:56,MagicBricks,FB_Q1,End User,2BHK,8000000,10000000,25,E29,P4,UrbanNest,Pune
L000037,26-02-2025 05:33,Google Ads,Organic,End User,Villa,3000000,10000000,70,E06,P1,GreenVista,Bengaluru
L000038,07-06-2025 20:57,Facebook Ads,Organic,End User,2BHK,4500000,10000000,37,E20,P2,SkyHeights,Bengaluru
L000039,07-02-2024 01:18,Facebook Ads,Google_Search,End User,3BHK,8000000,6000000,19,E20,P2,SkyHeights,Bengaluru
L000040,31-03-2025 04:13,Facebook Ads,Google_Search,End User,2BHK,6000000,8000000,4,E30,P2,SkyHeights,Bengaluru
L000041,29-05-2024 06:44,MagicBricks,Google_Search,End User,2BHK,8000000,8000000,19,E09,P2,SkyHeights,Bengaluru
L000042,10-01-2025 05:22,MagicBricks,Google_Search,End User,2BHK,4500000,6000000,19,E14,P2,SkyHeights,Bengaluru
L000043,01-06-2025 04:51,Facebook Ads,Organic,End User,2BHK,3000000,8000000,8,E02,P5,PalmResidency,Pune
L000044,19-08-2024 04:43,Google Ads,Referral_Partner,End User,Villa,6000000,10000000,84,E17,P5,PalmResidency,Pune
L000045,28-05-2024 07:14,Google Ads,Google_Search,End User,2BHK,6000000,8000000,50,E16,P4,UrbanNest,Pune
L000046,26-06-2024 15:56,Facebook Ads,FB_Q2,End User,3BHK,8000000,6000000,49,E25,P3,LakeFront,Hyderabad
L000047,28-09-2024 09:47,Google Ads,Google_Search,End User,3BHK,4500000,6000000,72,E05,P3,LakeFront,Hyderabad
L000048,03-06-2025 01:21,Walk-in,FB_Q1,End User,2BHK,3000000,13000000,27,E29,P4,UrbanNest,Pune
L000049,30-10-2024 18:16,Walk-in,Google_Search,End User,3BHK,4500000,13000000,21,E08,P3,LakeFront,Hyderabad
L000050,06-03-2024 00:01,Walk-in,FB_Q1,End User,Villa,4500000,6000000,51,E09,P4,UrbanNest,Pune
L000051,21-02-2025 08:55,Walk-in,Referral_Partner,Investor,Villa,4500000,10000000,74,E09,P2,SkyHeights,Bengaluru
L000052,05-05-2025 17:02,99acres,Organic,End User,2BHK,4500000,6000000,39,E23,P4,UrbanNest,Pune
L000053,01-04-2024 21:10,MagicBricks,Organic,Investor,Villa,6000000,10000000,79,E11,P3,LakeFront,Hyderabad
L000054,06-01-2025 10:40,99acres,Referral_Partner,End User,Villa,8000000,8000000,91,E03,P1,GreenVista,Bengaluru
L000055,10-04-2024 09:55,Referral,Organic,End User,Villa,4500000,8000000,2,E22,P4,UrbanNest,Pune
L000056,13-03-2024 02:11,Google Ads,FB_Q2,End User,2BHK,4500000,8000000,81,E22,P4,UrbanNest,Pune
L000057,09-06-2025 18:47,Google Ads,FB_Q1,End User,2BHK,8000000,6000000,1,E13,P2,SkyHeights,Bengaluru
L000058,05-04-2024 14:48,Google Ads,FB_Q1,End User,Villa,6000000,8000000,76,E27,P5,PalmResidency,Pune
L000059,21-11-2024 17:48,Facebook Ads,FB_Q1,End User,3BHK,6000000,6000000,85,E05,P4,UrbanNest,Pune
L000060,25-06-2024 04:02,Google Ads,Google_Search,Investor,2BHK,3000000,8000000,90,E25,P4,UrbanNest,Pune
L000061,15-08-2024 00:16,Walk-in,Referral_Partner,Investor,Villa,4500000,10000000,40,E28,P2,SkyHeights,Bengaluru
L000062,04-04-2025 21:20,MagicBricks,FB_Q2,End User,Villa,3000000,13000000,38,E12,P1,GreenVista,Bengaluru
L000063,06-03-2025 01:58,Facebook Ads,FB_Q2,End User,3BHK,4500000,13000000,70,E11,P5,PalmResidency,Pune
L000064,30-01-2025 10:12,Walk-in,FB_Q1,Investor,3BHK,8000000,10000000,36,E03,P1,GreenVista,Bengaluru
L000065,11-06-2025 22:56,Facebook Ads,FB_Q1,End User,Villa,6000000,6000000,6,E15,P4,UrbanNest,Pune
L000066,30-07-2024 14:25,MagicBricks,Referral_Partner,Investor,2BHK,6000000,13000000,66,E11,P1,GreenVista,Bengaluru
L000067,06-04-2025 01:57,99acres,FB_Q2,End User,Villa,8000000,10000000,41,E23,P4,UrbanNest,Pune
L000068,09-03-2025 21:33,Facebook Ads,Google_Search,Investor,3BHK,3000000,8000000,67,E01,P3,LakeFront,Hyderabad
L000069,06-11-2024 00:25,99acres,Referral_Partner,End User,3BHK,8000000,6000000,54,E09,P4,UrbanNest,Pune
L000070,02-12-2024 07:06,Referral,FB_Q1,End User,2BHK,6000000,10000000,15,E28,P2,SkyHeights,Bengaluru
L000071,01-02-2024 08:15,Referral,Organic,Investor,Villa,4500000,6000000,61,E15,P2,SkyHeights,Bengaluru
L000072,08-01-2025 02:09,Walk-in,Referral_Partner,End User,Villa,4500000,8000000,25,E09,P3,LakeFront,Hyderabad
L000073,15-04-2024 17:47,99acres,Google_Search,End User,Villa,3000000,6000000,65,E01,P2,SkyHeights,Bengaluru
L000074,25-04-2025 23:17,Google Ads,FB_Q1,End User,2BHK,4500000,6000000,18,E11,P1,GreenVista,Bengaluru
L000075,31-05-2024 07:21,Google Ads,Referral_Partner,End User,3BHK,8000000,10000000,88,E18,P3,LakeFront,Hyderabad
L000076,23-02-2024 10:39,99acres,FB_Q1,End User,2BHK,6000000,8000000,71,E26,P2,SkyHeights,Bengaluru
L000077,28-06-2024 03:47,Facebook Ads,FB_Q2,End User,2BHK,3000000,8000000,33,E24,P5,PalmResidency,Pune
L000078,06-05-2024 17:37,Walk-in,Google_Search,End User,3BHK,4500000,6000000,47,E11,P3,LakeFront,Hyderabad
L000079,21-03-2024 02:25,99acres,Google_Search,Investor,2BHK,3000000,10000000,83,E28,P2,SkyHeights,Bengaluru
L000080,07-05-2024 10:03,Google Ads,FB_Q1,End User,2BHK,8000000,13000000,10,E24,P2,SkyHeights,Bengaluru
L000081,12-04-2025 13:34,Google Ads,FB_Q2,End User,2BHK,6000000,13000000,58,E22,P4,UrbanNest,Pune
L000082,03-02-2024 09:24,Facebook Ads,Organic,Investor,Villa,4500000,6000000,36,E21,P5,PalmResidency,Pune
L000083,26-06-2025 00:35,Facebook Ads,FB_Q1,End User,Villa,8000000,8000000,26,E15,P2,SkyHeights,Bengaluru
L000084,27-06-2025 17:37,Google Ads,Organic,End User,Villa,4500000,6000000,13,E03,P2,SkyHeights,Bengaluru
L000085,14-12-2024 16:37,99acres,FB_Q2,End User,Villa,8000000,6000000,96,E29,P1,GreenVista,Bengaluru
L000086,13-07-2024 02:06,Referral,Referral_Partner,Investor,Villa,8000000,6000000,32,E04,P4,UrbanNest,Pune
L000087,26-01-2025 18:08,Facebook Ads,Referral_Partner,End User,Villa,3000000,6000000,26,E29,P2,SkyHeights,Bengaluru
L000088,20-11-2024 05:43,Facebook Ads,Organic,Investor,3BHK,8000000,6000000,96,E28,P2,SkyHeights,Bengaluru
L000089,29-09-2024 10:35,Referral,FB_Q1,End User,2BHK,6000000,6000000,35,E09,P2,SkyHeights,Bengaluru
L000090,04-05-2024 04:32,Referral,FB_Q2,End User,Villa,6000000,13000000,26,E10,P5,PalmResidency,Pune
L000091,08-01-2024 18:11,Walk-in,Google_Search,End User,Villa,8000000,6000000,10,E21,P2,SkyHeights,Bengaluru
L000092,01-12-2024 15:31,Google Ads,Google_Search,End User,3BHK,3000000,10000000,2,E02,P2,SkyHeights,Bengaluru
L000093,02-08-2024 01:01,MagicBricks,Organic,End User,Villa,4500000,13000000,24,E05,P1,GreenVista,Bengaluru
L000094,17-01-2024 09:09,99acres,Referral_Partner,End User,2BHK,6000000,10000000,28,E03,P3,LakeFront,Hyderabad
L000095,29-09-2024 15:29,Facebook Ads,Google_Search,End User,Villa,6000000,6000000,7,E25,P5,PalmResidency,Pune
L000096,16-10-2024 19:15,Referral,Organic,Investor,Villa,4500000,10000000,52,E16,P1,GreenVista,Bengaluru
L000097,29-10-2024 02:23,99acres,Referral_Partner,End User,3BHK,6000000,6000000,21,E09,P4,UrbanNest,Pune
L000098,30-10-2024 10:52,MagicBricks,Google_Search,End User,3BHK,3000000,10000000,97,E19,P3,LakeFront,Hyderabad
L000099,19-06-2024 05:19,Google Ads,Organic,End User,2BHK,3000000,10000000,9,E11,P3,LakeFront,Hyderabad
L000100,12-04-2025 20:06,Walk-in,Google_Search,End User,3BHK,8000000,6000000,41,E25,P5,PalmResidency,Pune
L000101,28-05-2025 03:49,Walk-in,FB_Q1,End User,2BHK,3000000,6000000,76,E20,P1,GreenVista,Bengaluru
L000102,09-03-2025 20:26,Google Ads,FB_Q2,End User,Villa,3000000,6000000,77,E24,P5,PalmResidency,Pune
L000103,21-01-2025 18:19,Walk-in,FB_Q1,End User,2BHK,3000000,13000000,30,E21,P4,UrbanNest,Pune
L000104,06-06-2025 17:01,Facebook Ads,Organic,End User,2BHK,8000000,13000000,65,E14,P4,UrbanNest,Pune
L000105,21-12-2024 02:15,Google Ads,Referral_Partner,End User,2BHK,4500000,6000000,39,E10,P2,SkyHeights,Bengaluru
L000106,21-11-2024 15:21,Google Ads,FB_Q2,End User,Villa,3000000,10000000,62,E02,P3,LakeFront,Hyderabad
L000107,09-03-2024 10:17,Google Ads,FB_Q2,End User,3BHK,4500000,13000000,48,E15,P1,GreenVista,Bengaluru
L000108,12-05-2025 15:50,MagicBricks,Referral_Partner,End User,2BHK,3000000,10000000,34,E21,P5,PalmResidency,Pune
L000109,14-04-2024 00:45,Google Ads,Referral_Partner,Investor,3BHK,6000000,13000000,27,E07,P3,LakeFront,Hyderabad
L000110,04-03-2025 17:26,99acres,FB_Q2,End User,2BHK,4500000,10000000,37,E12,P2,SkyHeights,Bengaluru
L000111,01-05-2025 20:11,Google Ads,FB_Q1,End User,3BHK,4500000,6000000,32,E11,P4,UrbanNest,Pune
L000112,21-05-2025 15:41,Google Ads,Referral_Partner,End User,2BHK,3000000,10000000,46,E03,P5,PalmResidency,Pune
L000113,09-02-2024 13:59,Google Ads,FB_Q1,End User,Villa,4500000,10000000,54,E02,P4,UrbanNest,Pune
L000114,17-01-2024 07:33,99acres,Google_Search,Investor,3BHK,3000000,10000000,32,E07,P3,LakeFront,Hyderabad
L000115,03-03-2025 07:19,99acres,Referral_Partner,Investor,2BHK,4500000,6000000,40,E21,P3,LakeFront,Hyderabad
L000116,02-08-2024 05:09,Google Ads,Organic,End User,2BHK,4500000,8000000,96,E20,P1,GreenVista,Bengaluru
L000117,05-06-2024 11:31,Google Ads,Referral_Partner,End User,3BHK,6000000,13000000,86,E24,P2,SkyHeights,Bengaluru
L000118,15-05-2024 07:57,Walk-in,FB_Q1,Investor,3BHK,4500000,10000000,71,E16,P3,LakeFront,Hyderabad
L000119,24-05-2024 13:51,Walk-in,Referral_Partner,End User,Villa,8000000,10000000,68,E03,P4,UrbanNest,Pune
L000120,13-04-2025 21:27,Google Ads,FB_Q1,End User,Villa,3000000,10000000,62,E26,P5,PalmResidency,Pune
L000121,06-01-2025 12:48,Walk-in,FB_Q2,End User,2BHK,3000000,6000000,47,E14,P2,SkyHeights,Bengaluru
L000122,29-02-2024 23:18,MagicBricks,FB_Q2,End User,3BHK,8000000,8000000,91,E04,P5,PalmResidency,Pune
L000123,21-09-2024 21:18,Walk-in,FB_Q1,End User,Villa,3000000,10000000,37,E01,P5,PalmResidency,Pune
L000124,24-06-2024 13:26,MagicBricks,Organic,End User,2BHK,6000000,10000000,96,E21,P3,LakeFront,Hyderabad
L000125,18-02-2024 17:21,MagicBricks,Organic,End User,2BHK,4500000,6000000,4,E10,P3,LakeFront,Hyderabad
L000126,04-07-2024 01:37,Walk-in,FB_Q1,End User,3BHK,8000000,10000000,99,E20,P1,GreenVista,Bengaluru
L000127,30-04-2024 12:11,99acres,Referral_Partner,End User,2BHK,6000000,10000000,26,E17,P4,UrbanNest,Pune
L000128,31-03-2024 22:52,Walk-in,FB_Q2,End User,3BHK,4500000,6000000,63,E15,P2,SkyHeights,Bengaluru
L000129,10-03-2024 08:03,Google Ads,Google_Search,End User,3BHK,6000000,8000000,67,E02,P4,UrbanNest,Pune
L000130,01-07-2024 08:08,Walk-in,FB_Q1,End User,Villa,3000000,8000000,95,E02,P1,GreenVista,Bengaluru
L000131,04-01-2024 19:05,Facebook Ads,Referral_Partner,End User,2BHK,3000000,13000000,36,E03,P1,GreenVista,Bengaluru
L000132,12-12-2024 06:52,MagicBricks,Referral_Partner,End User,3BHK,3000000,13000000,8,E13,P4,UrbanNest,Pune
L000133,13-11-2024 15:11,Facebook Ads,Referral_Partner,Investor,3BHK,6000000,8000000,46,E19,P1,GreenVista,Bengaluru
L000134,06-06-2024 22:53,Facebook Ads,FB_Q1,Investor,Villa,3000000,10000000,62,E14,P2,SkyHeights,Bengaluru
L000135,05-03-2025 04:16,Facebook Ads,Referral_Partner,Investor,Villa,6000000,13000000,62,E01,P1,GreenVista,Bengaluru
L000136,25-03-2024 13:17,Referral,Referral_Partner,Investor,3BHK,6000000,6000000,9,E09,P4,UrbanNest,Pune
L000137,05-01-2024 12:14,Facebook Ads,Organic,Investor,Villa,3000000,13000000,69,E15,P2,SkyHeights,Bengaluru
L000138,25-05-2024 18:34,99acres,FB_Q2,End User,Villa,3000000,8000000,69,E16,P1,GreenVista,Bengaluru
L000139,13-05-2025 17:42,Facebook Ads,Google_Search,End User,Villa,6000000,8000000,10,E17,P1,GreenVista,Bengaluru
L000140,14-08-2024 12:37,99acres,Organic,End User,2BHK,8000000,6000000,98,E07,P5,PalmResidency,Pune
L000141,19-07-2024 07:40,Facebook Ads,Google_Search,Investor,3BHK,6000000,13000000,92,E26,P2,SkyHeights,Bengaluru
L000142,04-07-2024 01:35,MagicBricks,FB_Q1,Investor,2BHK,4500000,10000000,9,E29,P1,GreenVista,Bengaluru
L000143,24-01-2024 23:13,Referral,Organic,End User,3BHK,6000000,10000000,46,E27,P3,LakeFront,Hyderabad
L000144,12-04-2025 00:03,MagicBricks,FB_Q2,End User,3BHK,8000000,13000000,48,E05,P2,SkyHeights,Bengaluru
L000145,20-03-2024 07:05,Facebook Ads,Referral_Partner,End User,Villa,6000000,13000000,90,E23,P3,LakeFront,Hyderabad
L000146,12-12-2024 17:15,Facebook Ads,Google_Search,End User,3BHK,3000000,13000000,93,E16,P1,GreenVista,Bengaluru
L000147,05-03-2025 21:09,99acres,FB_Q2,Investor,2BHK,4500000,13000000,91,E24,P5,PalmResidency,Pune
L000148,09-03-2025 10:07,Walk-in,Organic,End User,2BHK,3000000,8000000,16,E23,P5,PalmResidency,Pune
L000149,18-02-2024 03:15,MagicBricks,Google_Search,End User,2BHK,3000000,8000000,41,E15,P2,SkyHeights,Bengaluru
L000150,28-06-2025 20:20,MagicBricks,FB_Q2,Investor,3BHK,3000000,8000000,5,E22,P4,UrbanNest,Pune
L000151,16-12-2024 16:51,Google Ads,Google_Search,End User,Villa,8000000,8000000,92,E03,P1,GreenVista,Bengaluru
L000152,21-05-2024 03:12,Walk-in,Referral_Partner,End User,Villa,6000000,10000000,49,E23,P2,SkyHeights,Bengaluru
L000153,24-02-2025 21:07,99acres,Referral_Partner,End User,3BHK,6000000,8000000,20,E21,P4,UrbanNest,Pune
L000154,06-04-2024 16:54,Facebook Ads,FB_Q1,Investor,Villa,4500000,6000000,82,E25,P3,LakeFront,Hyderabad
L000155,31-07-2024 16:48,Google Ads,Referral_Partner,Investor,3BHK,4500000,10000000,10,E24,P4,UrbanNest,Pune
L000156,30-04-2025 06:16,Google Ads,Organic,Investor,3BHK,6000000,8000000,93,E23,P1,GreenVista,Bengaluru
L000157,15-01-2024 02:36,MagicBricks,Organic,End User,3BHK,4500000,6000000,23,E09,P4,UrbanNest,Pune
L000158,01-04-2025 20:00,Walk-in,FB_Q1,Investor,2BHK,8000000,10000000,53,E25,P4,UrbanNest,Pune
L000159,12-02-2025 10:40,99acres,Organic,End User,2BHK,6000000,10000000,98,E07,P4,UrbanNest,Pune
L000160,21-04-2024 10:23,Walk-in,FB_Q1,End User,Villa,6000000,6000000,84,E10,P4,UrbanNest,Pune
L000161,23-06-2024 16:02,MagicBricks,FB_Q1,End User,2BHK,6000000,6000000,10,E23,P4,UrbanNest,Pune
L000162,25-02-2024 18:56,MagicBricks,Referral_Partner,End User,3BHK,6000000,6000000,4,E22,P3,LakeFront,Hyderabad
L000163,16-03-2025 11:56,Walk-in,Referral_Partner,Investor,3BHK,3000000,6000000,34,E24,P5,PalmResidency,Pune
L000164,11-01-2025 01:49,Walk-in,Referral_Partner,End User,3BHK,8000000,13000000,13,E24,P3,LakeFront,Hyderabad
L000165,17-04-2024 03:06,Google Ads,Organic,End User,Villa,3000000,13000000,82,E02,P1,GreenVista,Bengaluru
L000166,28-03-2025 02:33,Facebook Ads,Google_Search,End User,2BHK,8000000,8000000,16,E14,P1,GreenVista,Bengaluru
L000167,02-04-2025 03:08,Walk-in,FB_Q2,End User,3BHK,8000000,10000000,47,E04,P3,LakeFront,Hyderabad
L000168,06-09-2024 16:57,99acres,Referral_Partner,End User,3BHK,4500000,13000000,22,E30,P2,SkyHeights,Bengaluru
L000169,14-09-2024 10:10,99acres,FB_Q1,End User,2BHK,6000000,8000000,97,E21,P1,GreenVista,Bengaluru
L000170,31-07-2024 02:01,Google Ads,Organic,End User,Villa,6000000,8000000,68,E03,P5,PalmResidency,Pune
L000171,20-04-2025 18:00,Walk-in,Referral_Partner,End User,3BHK,8000000,13000000,47,E27,P3,LakeFront,Hyderabad
L000172,09-06-2024 16:11,Referral,Referral_Partner,End User,Villa,8000000,6000000,61,E20,P3,LakeFront,Hyderabad
L000173,26-04-2024 08:06,Google Ads,Organic,End User,3BHK,8000000,6000000,15,E04,P3,LakeFront,Hyderabad
L000174,06-06-2024 03:41,Google Ads,FB_Q2,End User,3BHK,4500000,13000000,52,E14,P2,SkyHeights,Bengaluru
L000175,19-01-2025 03:10,99acres,Organic,End User,3BHK,8000000,10000000,62,E27,P1,GreenVista,Bengaluru
L000176,10-02-2025 18:21,MagicBricks,Organic,Investor,3BHK,6000000,8000000,8,E30,P5,PalmResidency,Pune
L000177,06-01-2025 00:41,MagicBricks,FB_Q2,End User,3BHK,8000000,10000000,15,E29,P2,SkyHeights,Bengaluru
L000178,25-12-2024 07:14,99acres,Referral_Partner,End User,2BHK,6000000,10000000,17,E15,P5,PalmResidency,Pune
L000179,15-08-2024 13:52,Facebook Ads,Referral_Partner,End User,2BHK,3000000,8000000,74,E07,P1,GreenVista,Bengaluru
L000180,09-06-2025 22:19,Facebook Ads,Referral_Partner,Investor,3BHK,8000000,13000000,22,E09,P4,UrbanNest,Pune
L000181,03-04-2025 03:22,Walk-in,FB_Q2,End User,3BHK,4500000,6000000,35,E03,P2,SkyHeights,Bengaluru
L000182,05-05-2024 00:54,99acres,Organic,Investor,3BHK,6000000,10000000,89,E12,P5,PalmResidency,Pune
L000183,23-08-2024 12:34,Google Ads,FB_Q1,End User,Villa,3000000,10000000,55,E09,P1,GreenVista,Bengaluru
L000184,27-02-2025 21:34,MagicBricks,Organic,End User,3BHK,6000000,8000000,69,E17,P1,GreenVista,Bengaluru
L000185,29-09-2024 08:05,MagicBricks,Google_Search,Investor,2BHK,6000000,10000000,59,E18,P1,GreenVista,Bengaluru
L000186,16-10-2024 04:21,Google Ads,FB_Q2,Investor,2BHK,4500000,13000000,75,E26,P4,UrbanNest,Pune
L000187,21-08-2024 21:58,Walk-in,Organic,End User,3BHK,3000000,13000000,83,E05,P2,SkyHeights,Bengaluru
L000188,05-12-2024 05:23,Google Ads,FB_Q2,End User,Villa,4500000,8000000,87,E08,P3,LakeFront,Hyderabad
L000189,06-12-2024 14:13,Google Ads,FB_Q1,End User,2BHK,8000000,10000000,50,E22,P2,SkyHeights,Bengaluru
L000190,12-01-2024 22:05,Referral,FB_Q1,End User,3BHK,3000000,10000000,3,E01,P5,PalmResidency,Pune
L000191,08-01-2024 02:17,Walk-in,Organic,End User,3BHK,6000000,8000000,22,E01,P3,LakeFront,Hyderabad
L000192,14-11-2024 06:42,Google Ads,Organic,Investor,2BHK,8000000,13000000,72,E19,P2,SkyHeights,Bengaluru
L000193,15-02-2025 12:03,MagicBricks,Google_Search,End User,2BHK,8000000,10000000,39,E13,P3,LakeFront,Hyderabad
L000194,29-03-2024 03:35,Google Ads,Referral_Partner,End User,Villa,3000000,8000000,78,E16,P1,GreenVista,Bengaluru
L000195,23-10-2024 18:45,Walk-in,Referral_Partner,End User,2BHK,6000000,8000000,83,E22,P2,SkyHeights,Bengaluru
L000196,15-02-2025 06:21,MagicBricks,Organic,End User,3BHK,3000000,6000000,54,E19,P2,SkyHeights,Bengaluru
L000197,09-08-2024 21:06,Facebook Ads,FB_Q2,End User,3BHK,6000000,8000000,54,E20,P2,SkyHeights,Bengaluru
L000198,30-10-2024 04:37,Google Ads,Referral_Partner,End User,2BHK,6000000,10000000,30,E06,P4,UrbanNest,Pune
L000199,16-06-2025 22:44,MagicBricks,FB_Q1,Investor,2BHK,4500000,13000000,90,E11,P3,LakeFront,Hyderabad
L000200,04-02-2024 02:27,99acres,FB_Q1,End User,Villa,6000000,13000000,81,E01,P2,SkyHeights,Bengaluru
L000201,15-03-2025 10:09,MagicBricks,Referral_Partner,End User,3BHK,8000000,6000000,35,E25,P2,SkyHeights,Bengaluru
L000202,01-10-2024 07:08,MagicBricks,Google_Search,End User,3BHK,8000000,13000000,13,E19,P1,GreenVista,Bengaluru
L000203,10-03-2024 20:49,99acres,Google_Search,End User,Villa,8000000,8000000,52,E15,P2,SkyHeights,Bengaluru
L000204,15-06-2025 16:14,MagicBricks,FB_Q1,End User,Villa,6000000,10000000,96,E09,P2,SkyHeights,Bengaluru
L000205,27-02-2025 15:04,99acres,FB_Q1,End User,2BHK,8000000,10000000,34,E11,P5,PalmResidency,Pune
L000206,18-04-2025 16:53,MagicBricks,Google_Search,End User,3BHK,3000000,6000000,27,E12,P1,GreenVista,Bengaluru
L000207,24-09-2024 21:27,Walk-in,FB_Q1,End User,Villa,6000000,10000000,99,E26,P2,SkyHeights,Bengaluru
L000208,05-07-2024 00:05,99acres,Organic,Investor,Villa,8000000,6000000,37,E23,P4,UrbanNest,Pune
L000209,04-05-2025 02:24,MagicBricks,Organic,Investor,3BHK,8000000,6000000,86,E15,P4,UrbanNest,Pune
L000210,13-08-2024 21:03,Referral,Google_Search,End User,3BHK,3000000,6000000,32,E05,P5,PalmResidency,Pune
L000211,30-04-2025 23:48,Google Ads,Referral_Partner,End User,2BHK,6000000,6000000,15,E17,P1,GreenVista,Bengaluru
L000212,14-05-2024 20:48,MagicBricks,Google_Search,Investor,Villa,6000000,6000000,90,E25,P4,UrbanNest,Pune
L000213,17-03-2024 09:54,99acres,Google_Search,End User,Villa,3000000,8000000,60,E06,P4,UrbanNest,Pune
L000214,15-07-2024 11:24,Referral,FB_Q2,End User,2BHK,8000000,8000000,55,E11,P1,GreenVista,Bengaluru
L000215,27-06-2025 05:37,99acres,Referral_Partner,Investor,2BHK,4500000,6000000,76,E08,P1,GreenVista,Bengaluru
L000216,05-09-2024 23:01,MagicBricks,FB_Q1,End User,2BHK,3000000,6000000,3,E01,P4,UrbanNest,Pune
